"Name","Folder","Path","Bytes","Lines","Tokens","CodeLines"
"SKILL.md","skill-evolver","D:\SGROUP ERP FULL\.agents\skills\skill-evolver\SKILL.md","13366","348","3342","150"
"SKILL.md","solution-architect","D:\SGROUP ERP FULL\.agents\skills\solution-architect\SKILL.md","9148","276","2287","178"
"SKILL.md","state-machine","D:\SGROUP ERP FULL\.agents\skills\state-machine\SKILL.md","6250","146","1562","47"
"SKILL.md","subscription","D:\SGROUP ERP FULL\.agents\skills\subscription\SKILL.md","8978","237","2244","123"
"SKILL.md","support-engineer","D:\SGROUP ERP FULL\.agents\skills\support-engineer\SKILL.md","5142","179","1286","93"
"SKILL.md","tech-lead","D:\SGROUP ERP FULL\.agents\skills\tech-lead\SKILL.md","8964","292","2241","143"
"SKILL.md","technical-writer","D:\SGROUP ERP FULL\.agents\skills\technical-writer\SKILL.md","8972","350","2243","237"
"SKILL.md","testing","D:\SGROUP ERP FULL\.agents\skills\testing\SKILL.md","5767","206","1442","144"
"SKILL.md","training-coordinator","D:\SGROUP ERP FULL\.agents\skills\training-coordinator\SKILL.md","5099","151","1275","66"
"SKILL.md","troubleshooting","D:\SGROUP ERP FULL\.agents\skills\troubleshooting\SKILL.md","11442","198","2860","10"
"SKILL.md","ui-ux","D:\SGROUP ERP FULL\.agents\skills\ui-ux\SKILL.md","2300","58","575","0"
"SKILL.md","ui-ux-design","D:\SGROUP ERP FULL\.agents\skills\ui-ux-design\SKILL.md","22837","683","5709","213"
"color-tokens.md","resources","D:\SGROUP ERP FULL\.agents\skills\ui-ux-design\resources\color-tokens.md","3665","103","916","0"
"component-catalog.md","resources","D:\SGROUP ERP FULL\.agents\skills\ui-ux-design\resources\component-catalog.md","4855","121","1214","0"
"add-api.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-api.md","4935","179","1234","65"
"add-component.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-component.md","4162","160","1040","51"
"add-mobile-screen.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-mobile-screen.md","6231","237","1558","124"
"add-module.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-module.md","6390","213","1598","12"
"add-page.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-page.md","5115","173","1279","46"
"add-realtime.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-realtime.md","5957","225","1489","102"
"add-seed-data.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\add-seed-data.md","4397","135","1099","45"
"admin-page.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\admin-page.md","8136","255","2034","146"
"ai-integration.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\ai-integration.md","4836","145","1209","0"
"api-design.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\api-design.md","4674","150","1168","0"
"api-docs.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\api-docs.md","1836","57","459","5"
"architecture-review.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\architecture-review.md","2046","59","512","0"
"audit.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\audit.md","9325","267","2331","95"
"avoid-common-pitfalls.md","workflows","D:\SGROUP ERP FULL\.agents\workflows\avoid-common-pitfalls.md","5583","94","1396","0"
